ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
379,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects,Something else,"On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;How-to videos;Click to write Choice 20,NA,4,1,"Developer, full-stack",20 to 99 employees,I have some influence,Other,Ask developers I know/work with;Other (please specify):,Germany,EUR European Euro,33000,HTML/CSS;PHP,HTML/CSS;PHP,MariaDB,MariaDB,NA,NA,NA,NA,NA,NA,Composer,Composer,PhpStorm,PhpStorm,Windows,MacOS,NA,NA,Google Meet;Slack,Google Meet;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really","'+fast response in under a minute, instead of waiting ten minutes - if you ask for opinion or more vague or more abstract its probably worse","No, but I plan to soon",Favorable,NA,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,35340
380,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow,NA,6,3,"Developer, back-end",500 to 999 employees,I have little or no influence,NA,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Bangladesh,"BDT	Bangladeshi taka",1200000,HTML/CSS;Java;Python;SQL;TypeScript,Java;TypeScript,Elasticsearch;MariaDB;MySQL;Redis,Elasticsearch;MariaDB;MySQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),Angular;Django;Spring Boot,Angular;Spring Boot,Apache Kafka;NumPy;Opencv;Pandas;Spring Framework,Apache Kafka;Spring Framework,Docker;Gradle;Maven (build tool);npm;Pip,Docker;Gradle;Maven (build tool),IntelliJ IDEA;PyCharm;Sublime Text;WebStorm,IntelliJ IDEA;PyCharm;WebStorm,Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu,Jira;Monday.com,Jira;Monday.com,Google Meet;Skype;Slack,Google Meet;Skype;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,3,Neither agree nor disagree,NA,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Never,10+ times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,11156
381,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Udemy,18,12,"Developer, mobile",500 to 999 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,"INR	Indian rupee",2200000,JavaScript;Objective-C;Swift,Kotlin;Objective-C;Swift,Firebase Realtime Database;SQLite,Firebase Realtime Database;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;OpenShift;OpenStack,NA,NestJS;Next.js;Node.js,NA,React Native;SwiftUI,Flutter;Ktor,Homebrew;Yarn,Homebrew;Kubernetes;npm;Yarn,Visual Studio Code;Xcode,Visual Studio Code;Xcode,Android;iOS;iPadOS;MacOS,Android;iOS;iPadOS;MacOS,GitHub Discussions;Jira;Trello,GitHub Discussions;Jira;Notion;Trello;Wikis,Google Meet;Jitsi;Skype;Telegram;Whatsapp;Zoom,Google Meet;Jitsi;Skype;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI;Quora Poe;You.com,AWS CodeWhisperer;GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",I think that would b revolutionary. I could mostly go into validating the ticketing process mainly the duplicate questions.,"No, but I plan to soon",Favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Easy,26657
382,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Programming Games",Udemy,27,21,"Developer, mobile","10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Germany,EUR European Euro,140000,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;MATLAB;Python;SQL;TypeScript,Bash/Shell (all shells);Kotlin;Python;SQL;TypeScript,BigQuery;Cockroachdb;PostgreSQL;SQLite,Cockroachdb;PostgreSQL;SQLite,NA,NA,Express;React,React,Ktor,Ktor,Dagger;Docker;Gradle;Homebrew;Yarn,Dagger;Docker;Gradle;Homebrew,Android Studio;IntelliJ IDEA;PyCharm;RubyMine;WebStorm,Android Studio;IntelliJ IDEA;PyCharm;WebStorm,Android;MacOS,Android;MacOS,Confluence;GitHub Discussions;Jira;Markdown File;Miro;Wikis,Confluence;GitHub Discussions;Jira;Markdown File;Miro;Wikis,Google Meet;Slack;Zoom,Google Meet;Slack;Zoom,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",NA,Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Project planning;Documenting code;Testing code;Committing and reviewing code;Collaborating with teammates ,,Learning about a codebase;Writing code;Debugging and getting help;Deployment and monitoring,NA,NA,NA,NA,NA,Yes,Individual contributor,21,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Easy,149925
383,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;School (i.e., University, College, etc)",NA,NA,6,4,Database administrator,100 to 499 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Latvia,EUR European Euro,30000,Bash/Shell (all shells);PowerShell;SQL,Zig,Oracle,Elasticsearch;PostgreSQL,NA,NA,NA,NA,NA,NA,Docker;Kubernetes,Docker;Kubernetes,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Android;Windows,Debian;Windows,Jira;Redmine,Redmine,Mattermost;Microsoft Teams;Whatsapp,Mattermost;Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not at all",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,32127
384,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Click to write Choice 20;Stack Overflow,Udemy;Pluralsight;Coursera,17,13,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,NA,Start a free trial;Visit developer communities like Stack Overflow,Poland,"PLN	Polish zloty",305000,C#;SQL;TypeScript,C#;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE,Angular;ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,Docker;MSBuild,Docker;MSBuild,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",NA,"No, but I plan to soon",Indifferent,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,13,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,1-2 times a week,NA,30-60 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,NA,Too long,Neither easy nor difficult,72975
385,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Stack Overflow,NA,15,12,"Developer, full-stack",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with,United Kingdom of Great Britain and Northern Ireland,"GBP	Pound sterling",56000,Bash/Shell (all shells);JavaScript;Python;TypeScript,Python;Rust;TypeScript,Neo4J;PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Google Cloud,Angular;React,React,Pandas;RabbitMQ,NA,APT;Chef;Docker;Homebrew;Kubernetes;npm;Pip;Podman;Terraform,APT;Cargo;Docker;Homebrew;Kubernetes;npm;Pip;Podman;Terraform,Neovim,Neovim,Arch,MacOS,Confluence;Jira;Trello,Trello,Google Meet;Microsoft Teams;Slack;Zoom,Google Meet;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",Please don't. What little value remains in SO is that humans provide the content and moderation.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,15,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,Over 120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Easy,69517
386,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos,Pluralsight,22,12,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Germany,EUR European Euro,72000,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;jQuery;Node.js,ASP.NET CORE;Express;jQuery;Node.js,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,Docker;Maven (build tool);npm;NuGet;Pip,Docker;Maven (build tool);npm;NuGet;Pip,Eclipse;Notepad++;RStudio;Visual Studio Code,Eclipse;Notepad++;Visual Studio Code,Windows,Windows,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",SO should use AI tools. AI can help to lighten manual and routine work.,"No, but I plan to soon",Very favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,77104
387,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials",NA,34,24,Blockchain,2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,France,EUR European Euro,NA,Assembly;C;HTML/CSS;JavaScript;Solidity;SQL,Assembly;C;HTML/CSS;JavaScript;Solidity;SQL,PostgreSQL,PostgreSQL,Scaleway,Scaleway,React,NA,Flutter;React Native,NA,npm,Docker;npm,Notepad++,Notepad++,Ubuntu;Windows,Ubuntu;Windows,Trello,NA,Discord;Google Meet;Signal;Slack;Zoom,Google Meet;Signal,ChatGPT,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Q&A search engine to get more relevant results,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
388,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos",edX;Udemy,3,3,"Developer, back-end",20 to 99 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Bulgaria,"BGN	Bulgarian lev",NA,Go;JavaScript;Python,Go;JavaScript;Python,InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;OVH,Amazon Web Services (AWS);OVH,FastAPI;Flask;React;WordPress,FastAPI;Flask,NA,NA,Ansible;APT;Docker;Godot;Kubernetes;npm;Pip,Ansible;APT;Docker;Godot;Kubernetes;npm;Pip,Neovim;Sublime Text;Vim;Visual Studio Code,Neovim;Sublime Text;Vim;Visual Studio Code,Fedora;Ubuntu;Windows Subsystem for Linux (WSL),Fedora;Ubuntu;Windows Subsystem for Linux (WSL),Confluence;Jira;Miro;Notion,Confluence;Jira;Miro;Notion,Slack;Telegram;Whatsapp;Zoom,Telegram,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,not sure AI will complement the stack community,Yes,Indifferent,Increase productivity,Highly distrust,Learning about a codebase,Writing code;Documenting code,Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,Writing code;Documenting code,,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
389,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Written Tutorials;Interactive tutorial,NA,9,9,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Given a list,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Germany,EUR European Euro,NA,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elixir;Python;Rust,Elasticsearch;PostgreSQL,SQLite,Digital Ocean,NA,Express;Node.js;Nuxt.js;Symfony;Vue.js,Qwik;Remix,NA,NA,Composer;Docker;Homebrew;Make;npm;pnpm;Podman;Vite;Yarn,Cargo,Vim;Visual Studio Code,Neovim,MacOS,,Asana;Notion,NA,Slack;Whatsapp,NA,ChatGPT,NA,GitHub Copilot,NA,Stack Overflow;Collectives on Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring,Writing code;Debugging and getting help;Testing code,Learning about a codebase;Collaborating with teammates ,,,Writing code,,Debugging and getting help;Testing code,Yes,Individual contributor,9,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,15-30 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Easy,NA
390,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;School (i.e., University, College, etc);Coding Bootcamp",NA,edX;Udemy,3,3,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Turkey,"TRY	Turkish lira",300000,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,NA,NA,AngularJS;ASP.NET;ASP.NET CORE;jQuery;React;WordPress,ASP.NET;ASP.NET CORE;Blazor;Next.js;Node.js;React,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;RabbitMQ,Docker;npm;NuGet;Unity 3D;Visual Studio Solution;Webpack,Docker;Kubernetes;npm;NuGet;Visual Studio Solution,Visual Studio Code,Visual Studio Code,Windows,MacOS;Windows,Asana;Jira,Asana;Azure Devops;GitHub Discussions;Jira,Slack;Zoom,Slack;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT,NA,NA,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat","Better search, better question",Yes,Indifferent,Increase productivity;Speed up learning,Somewhat distrust,Project planning;Writing code;Documenting code;Testing code,Learning about a codebase;Debugging and getting help;Committing and reviewing code,Deployment and monitoring;Collaborating with teammates ,,Learning about a codebase;Debugging and getting help,,,Committing and reviewing code,Yes,Individual contributor,3,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,6-10 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Continuous integration (CI) and (more often) continuous delivery,Higher Education,Too long,Easy,14102
391,I agree,I am a developer by profession,45-54 years old,"Employed, part-time",Remote,Hobby;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum);Other (please specify):","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Click to write Choice 20;Stack Overflow;Interactive tutorial;Programming Games",NA,11,5,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Investigate,NA,United Kingdom of Great Britain and Northern Ireland,"GBP	Pound sterling",15000,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,NA,NA,Heroku,Heroku,Deno,Deno;Vue.js,Electron,Electron,Chocolatey,Docker;Kubernetes,Sublime Text;Vim;Visual Studio Code;VSCodium,Visual Studio Code,Ubuntu,Ubuntu,GitHub Discussions,GitHub Discussions,NA,NA,Bing AI;ChatGPT,Bing AI;ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"No, not really","Get rid of the old duplication system where some questions are kept open and others are closed (often inexplicably / arbitrarily). Find all similar questions and put them all on the same page, such that different questions can be opened and closed via a concertina UI.",Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Project planning;Writing code;Documenting code;Debugging and getting help;Testing code,Learning about a codebase,,,,Learning about a codebase,,,Yes,Individual contributor,24,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,15-30 minutes a day,None of these,Wholesale,Appropriate in length,Neither easy nor difficult,18621
392,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,NA,15,13,"Developer, desktop or enterprise applications",10 to 19 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Germany,EUR European Euro,65000,C#;Java;VBA;Visual Basic (.Net),C#,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Blazor,Blazor,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Quarkus,.NET (5+) ;.NET MAUI,Docker;Maven (build tool);MSBuild;NuGet,Docker;MSBuild;NuGet,IntelliJ IDEA;Nano;Notepad++;Rider;Visual Studio Code,Kate;Nano;Visual Studio Code,Windows;Other (Please Specify):,Windows;Other (Please Specify):,Jira,NA,Microsoft Teams,Slack,ChatGPT;Phind,ChatGPT;Phind,NA,NA,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, definitely","find answers more quickly, assert which answer is the latest, fastest and most correct, help questions be relevant and contain enough information to be answered",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,,,,,,Writing code;Debugging and getting help,Yes,Individual contributor,13,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,69608
